Record Number,Listing ID,Property URL,Property Title,Listing Title,Property Type,Configuration,Bedrooms,Bathrooms,Price,Price Range (4 BHK),Price Range (5 BHK),Area,Area Type,Locality,City,Zone,Address,Postal Code,Project Name,Builder / Owner,Seller Type,Brokerage Type,Construction Status,RERA Status,Listing Age,Floor,Total Floors,Parking,Facing,Furnishing,Price / Sqft,Amenities,Special Features,Description,Image URL 1,Image URL 2,Image URL 3,Image URL 4,Images URL,Source Search URL,Source Page URL,Source Row,Estimated Market Price 2016 (₹),Estimated Market Price 2017 (₹),Estimated Market Price 2018 (₹),Estimated Market Price 2019 (₹),Estimated Market Price 2020 (₹),Estimated Market Price 2021 (₹),Estimated Market Price 2022 (₹),Estimated Market Price 2023 (₹),Estimated Market Price 2024 (₹),Estimated Market Price 2025 (₹)
183,1786023688-183,N/A,Lodha Group Serene Greens,"4 BHK Flat in Indiranagar, Bangalore",4 BHK Flat,4 BHK,4,4,₹161.2 Lac,N/A,N/A,2043 sqft,Carpet Area,Indiranagar,Bangalore,Central,"Indiranagar, Bangalore",400183,Lodha Group Serene Greens,Lodha Group,Verified Partner,Zero Brokerage,Ready To Move,Yes,4d ago,4,8,1 Covered,East,Unfurnished,₹7890 /sqft,"Jogging Track, Elevator, Tennis Court, Garden, Clubhouse","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 4 BHK residence located in Indiranagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=80,N/A,N/A,183,9672000,10478000,11284000,12090000,12896000,13702000,14508000,15314000,15797600,16120000
184,1786023688-184,N/A,Aparna Constructions Skyline Estate,"5 BHK Flat in HSR Layout, Bangalore",5 BHK Villa,5 BHK,5,4,₹224.6 Lac,N/A,N/A,2378 sqft,Carpet Area,HSR Layout,Bangalore,South,"HSR Layout, Bangalore",400184,Aparna Constructions Skyline Estate,Aparna Constructions,Verified Partner,Zero Brokerage,Under Construction,Yes,5d ago,5,9,1 Covered,North,Fully-Furnished,₹9445 /sqft,"Security, Garden, Elevator, Clubhouse, Parking, Swimming Pool","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 5 BHK residence located in HSR Layout, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=800&q=80,N/A,N/A,184,13476000,14599000,15722000,16845000,17968000,19091000,20214000,21337000,22010800,22460000
185,1786023688-185,N/A,Brigade Group Imperia Heights,"1 BHK Flat in Electronic City, Bangalore",1 BHK Flat,1 BHK,1,1,₹40.3 Lac,N/A,N/A,587 sqft,Carpet Area,Electronic City,Bangalore,North,"Electronic City, Bangalore",400185,Brigade Group Imperia Heights,Brigade Group,Verified Partner,Zero Brokerage,Ready To Move,Yes,6d ago,6,10,1 Covered,North-East,Semi-Furnished,₹6865 /sqft,"Parking, Clubhouse, Gymnasium, Elevator, Swimming Pool, Jogging Track","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 1 BHK residence located in Electronic City, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=800&q=80,N/A,N/A,185,2418000,2619500,2821000,3022500,3224000,3425500,3627000,3828500,3949400,4030000
186,1786023688-186,N/A,Puravankara Elegance Villas,"2 BHK Flat in Hebbal, Bangalore",2 BHK Flat,2 BHK,2,2,₹118.9 Lac,N/A,N/A,1183 sqft,Plot Area,Hebbal,Bangalore,South,"Hebbal, Bangalore",400186,Puravankara Elegance Villas,Puravankara,Verified Partner,Zero Brokerage,Ready To Move,Yes,7d ago,7,11,1 Covered,West,Semi-Furnished,₹10051 /sqft,"Security, Tennis Court, Swimming Pool, Gymnasium, Power Backup, Clubhouse, Jogging Track","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 2 BHK residence located in Hebbal, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1580587771525-78b9dba3b914?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?auto=format&fit=crop&w=800&q=80,N/A,N/A,186,7134000,7728500,8323000,8917500,9512000,10106500,10701000,11295500,11652200,11890000
187,1786023688-187,N/A,Rustomjee Urban Towers,"3 BHK Flat in Yelahanka, Bangalore",3 BHK Flat,3 BHK,3,3,₹132.1 Lac,N/A,N/A,1586 sqft,Super Built-up Area,Yelahanka,Bangalore,West,"Yelahanka, Bangalore",400187,Rustomjee Urban Towers,Rustomjee,Verified Partner,Zero Brokerage,Ready To Move,Yes,8d ago,8,12,1 Covered,West,Fully-Furnished,₹8329 /sqft,"Jogging Track, Gymnasium, Garden, Clubhouse, Elevator, Security","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 3 BHK residence located in Yelahanka, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=800&q=80,N/A,N/A,187,7926000,8586500,9247000,9907500,10568000,11228500,11889000,12549500,12945800,13210000
188,1786023688-188,N/A,Tata Housing Central Park,"4 BHK Flat in Sarjapur Road, Bangalore",4 BHK Flat,4 BHK,4,4,₹173.3 Lac,N/A,N/A,1960 sqft,Plot Area,Sarjapur Road,Bangalore,South,"Sarjapur Road, Bangalore",400188,Tata Housing Central Park,Tata Housing,Verified Partner,Zero Brokerage,Ready To Move,Yes,9d ago,9,13,1 Covered,North-East,Unfurnished,₹8842 /sqft,"Jogging Track, Security, Elevator, Gymnasium, Swimming Pool","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 4 BHK residence located in Sarjapur Road, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=800&q=80,N/A,N/A,188,10398000,11264500,12131000,12997500,13864000,14730500,15597000,16463500,16983400,17330000
189,1786023688-189,N/A,Mahindra Lifespaces Valley Court,"5 BHK Flat in Bellandur, Bangalore",5 BHK Villa,5 BHK,5,4,₹177.5 Lac,N/A,N/A,2403 sqft,Built-up Area,Bellandur,Bangalore,West,"Bellandur, Bangalore",400189,Mahindra Lifespaces Valley Court,Mahindra Lifespaces,Verified Partner,Zero Brokerage,Ready To Move,Yes,10d ago,10,14,1 Covered,East,Fully-Furnished,₹7387 /sqft,"Elevator, Swimming Pool, Parking, Clubhouse, Garden, Jogging Track, Power Backup","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 5 BHK residence located in Bellandur, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=800&q=80,N/A,N/A,189,10650000,11537500,12425000,13312500,14200000,15087500,15975000,16862500,17395000,17750000
190,1786023688-190,N/A,Casagrand Heights Gardens,"1 BHK Flat in Thanisandra, Bangalore",1 BHK Flat,1 BHK,1,1,₹56.1 Lac,N/A,N/A,720 sqft,Super Built-up Area,Thanisandra,Bangalore,Central,"Thanisandra, Bangalore",400190,Casagrand Heights Gardens,Casagrand,Verified Partner,Zero Brokerage,Ready To Move,Yes,11d ago,11,15,1 Covered,North-East,Fully-Furnished,₹7792 /sqft,"Tennis Court, Security, Clubhouse, Power Backup, Elevator, Jogging Track","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 1 BHK residence located in Thanisandra, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=800&q=80,N/A,N/A,190,3366000,3646500,3927000,4207500,4488000,4768500,5049000,5329500,5497800,5610000
191,1786023688-191,N/A,Kolte-Patil Palms Haven,"2 BHK Flat in Marathahalli, Bangalore",2 BHK Flat,2 BHK,2,2,₹99.3 Lac,N/A,N/A,1129 sqft,Built-up Area,Marathahalli,Bangalore,East,"Marathahalli, Bangalore",400191,Kolte-Patil Palms Haven,Kolte-Patil,Verified Partner,Zero Brokerage,Ready To Move,Yes,12d ago,12,16,1 Covered,North,Semi-Furnished,₹8795 /sqft,"Swimming Pool, Tennis Court, Parking, Garden","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 2 BHK residence located in Marathahalli, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,191,5958000,6454500,6951000,7447500,7944000,8440500,8937000,9433500,9731400,9930000
192,1786023688-192,N/A,Piramal Realty Vista Enclave,"3 BHK Flat in Jayanagar, Bangalore",3 BHK Flat,3 BHK,3,3,₹133.9 Lac,N/A,N/A,1484 sqft,Carpet Area,Jayanagar,Bangalore,West,"Jayanagar, Bangalore",400192,Piramal Realty Vista Enclave,Piramal Realty,Verified Partner,Zero Brokerage,Under Construction,Yes,1d ago,13,17,1 Covered,North-East,Fully-Furnished,₹9023 /sqft,"Gymnasium, Power Backup, Jogging Track, Swimming Pool, Parking, Elevator","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 3 BHK residence located in Jayanagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,192,8034000,8703500,9373000,10042500,10712000,11381500,12051000,12720500,13122200,13390000
193,1786023688-193,N/A,Prestige Group Avenue Square,"4 BHK Flat in Rajajinagar, Bangalore",4 BHK Flat,4 BHK,4,4,₹185.1 Lac,N/A,N/A,1861 sqft,Plot Area,Rajajinagar,Bangalore,South,"Rajajinagar, Bangalore",400193,Prestige Group Avenue Square,Prestige Group,Verified Partner,Zero Brokerage,Under Construction,Yes,2d ago,14,18,1 Covered,West,Fully-Furnished,₹9946 /sqft,"Swimming Pool, Security, Tennis Court, Garden, Gymnasium, Power Backup, Jogging Track","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 4 BHK residence located in Rajajinagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=80,N/A,N/A,193,11106000,12031500,12957000,13882500,14808000,15733500,16659000,17584500,18139800,18510000
194,1786023688-194,N/A,DLF Limited Oasis Plaza,"5 BHK Flat in Banashankari, Bangalore",5 BHK Villa,5 BHK,5,4,₹206.5 Lac,N/A,N/A,2412 sqft,Super Built-up Area,Banashankari,Bangalore,Central,"Banashankari, Bangalore",400194,DLF Limited Oasis Plaza,DLF Limited,Verified Partner,Zero Brokerage,Ready To Move,Yes,3d ago,15,19,1 Covered,East,Fully-Furnished,₹8561 /sqft,"Elevator, Swimming Pool, Garden, Parking, Gymnasium, Jogging Track","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 5 BHK residence located in Banashankari, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=800&q=80,N/A,N/A,194,12390000,13422500,14455000,15487500,16520000,17552500,18585000,19617500,20237000,20650000
195,1786023688-195,N/A,Godrej Properties Solitaire Terraces,"1 BHK Flat in Malleshwaram, Bangalore",1 BHK Flat,1 BHK,1,1,₹56.9 Lac,N/A,N/A,585 sqft,Super Built-up Area,Malleshwaram,Bangalore,South,"Malleshwaram, Bangalore",400195,Godrej Properties Solitaire Terraces,Godrej Properties,Verified Partner,Zero Brokerage,Ready To Move,Yes,4d ago,16,20,1 Covered,North,Fully-Furnished,₹9726 /sqft,"Parking, Jogging Track, Gymnasium, Garden, Clubhouse, Swimming Pool, Tennis Court","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 1 BHK residence located in Malleshwaram, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=800&q=80,N/A,N/A,195,3414000,3698500,3983000,4267500,4552000,4836500,5121000,5405500,5576200,5690000
196,1786023688-196,N/A,Sobha Limited Signature Residences,"2 BHK Flat in Kaggadasapura, Bangalore",2 BHK Flat,2 BHK,2,2,₹85.4 Lac,N/A,N/A,1177 sqft,Built-up Area,Kaggadasapura,Bangalore,West,"Kaggadasapura, Bangalore",400196,Sobha Limited Signature Residences,Sobha Limited,Verified Partner,Zero Brokerage,Under Construction,Yes,5d ago,17,21,1 Covered,East,Unfurnished,₹7256 /sqft,"Power Backup, Parking, Security, Elevator, Garden, Clubhouse","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 2 BHK residence located in Kaggadasapura, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1580587771525-78b9dba3b914?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?auto=format&fit=crop&w=800&q=80,N/A,N/A,196,5124000,5551000,5978000,6405000,6832000,7259000,7686000,8113000,8369200,8540000
197,1786023688-197,N/A,Oberoi Realty Crown Greens,"3 BHK Flat in BTM Layout, Bangalore",3 BHK Flat,3 BHK,3,3,₹129 Lac,N/A,N/A,1564 sqft,Carpet Area,BTM Layout,Bangalore,Central,"BTM Layout, Bangalore",400197,Oberoi Realty Crown Greens,Oberoi Realty,Verified Partner,Zero Brokerage,Ready To Move,Yes,6d ago,18,22,1 Covered,East,Unfurnished,₹8248 /sqft,"Tennis Court, Power Backup, Garden, Security","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 3 BHK residence located in BTM Layout, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=800&q=80,N/A,N/A,197,7740000,8385000,9030000,9675000,10320000,10965000,11610000,12255000,12642000,12900000
198,1786023688-198,N/A,Hiranandani Group Royal Estate,"4 BHK Flat in JP Nagar, Bangalore",4 BHK Flat,4 BHK,4,4,₹129.5 Lac,N/A,N/A,1891 sqft,Carpet Area,JP Nagar,Bangalore,Central,"JP Nagar, Bangalore",400198,Hiranandani Group Royal Estate,Hiranandani Group,Verified Partner,Zero Brokerage,Ready To Move,Yes,7d ago,1,5,1 Covered,West,Fully-Furnished,₹6848 /sqft,"Tennis Court, Security, Parking, Power Backup, Jogging Track","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 4 BHK residence located in JP Nagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=800&q=80,N/A,N/A,198,7770000,8417500,9065000,9712500,10360000,11007500,11655000,12302500,12691000,12950000
199,1786023688-199,N/A,Lodha Group Grand Heights,"5 BHK Flat in C V Raman Nagar, Bangalore",5 BHK Villa,5 BHK,5,4,₹180.8 Lac,N/A,N/A,2304 sqft,Plot Area,C V Raman Nagar,Bangalore,West,"C V Raman Nagar, Bangalore",400199,Lodha Group Grand Heights,Lodha Group,Verified Partner,Zero Brokerage,Ready To Move,Yes,8d ago,2,6,1 Covered,West,Unfurnished,₹7847 /sqft,"Power Backup, Clubhouse, Gymnasium, Elevator, Security, Tennis Court, Garden","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 5 BHK residence located in C V Raman Nagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=800&q=80,N/A,N/A,199,10848000,11752000,12656000,13560000,14464000,15368000,16272000,17176000,17718400,18080000
200,1786023688-200,N/A,Aparna Constructions Emerald Villas,"1 BHK Flat in Varthur, Bangalore",1 BHK Flat,1 BHK,1,1,₹50.5 Lac,N/A,N/A,661 sqft,Carpet Area,Varthur,Bangalore,Central,"Varthur, Bangalore",400200,Aparna Constructions Emerald Villas,Aparna Constructions,Verified Partner,Zero Brokerage,Under Construction,Yes,9d ago,3,7,1 Covered,North,Semi-Furnished,₹7640 /sqft,"Elevator, Garden, Swimming Pool, Gymnasium, Power Backup","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 1 BHK residence located in Varthur, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=800&q=80,N/A,N/A,200,3030000,3282500,3535000,3787500,4040000,4292500,4545000,4797500,4949000,5050000
201,1786023688-201,N/A,Brigade Group Serene Towers,"2 BHK Flat in Whitefield, Bangalore",2 BHK Flat,2 BHK,2,2,₹96 Lac,N/A,N/A,1035 sqft,Super Built-up Area,Whitefield,Bangalore,East,"Whitefield, Bangalore",400201,Brigade Group Serene Towers,Brigade Group,Verified Partner,Zero Brokerage,Ready To Move,Yes,10d ago,4,8,1 Covered,North,Unfurnished,₹9275 /sqft,"Garden, Tennis Court, Swimming Pool, Elevator, Power Backup, Jogging Track, Security","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 2 BHK residence located in Whitefield, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,201,5760000,6240000,6720000,7200000,7680000,8160000,8640000,9120000,9408000,9600000
